char,radical,ohaeng,huneum,strokes
禱,礻,火,빌 도,19
禳,礻,火,빌[祈] 양,22
禸,禸,土,- 유,5
禹,禸,土,성(姓) 우,9
禺,禸,土,땅 이름 옹,9
禼,禸,土,- 설,10
禽,禸,土,새 금,13
禾,禾,木,벼 화,5
禿,禾,木,대머리 독,7
秀,禾,木,빼어날 수,7
私,禾,木,사사(私事) 사,7
秃,禾,木,대머리 독,7
秆,禾,木,볏집 간,8
秉,禾,木,잡을 병,8
秋,禾,木,가을 추,9
种,禾,木,어릴 충,9
科,禾,木,과목 과,9
秒,禾,木,분초 초,9
秕,禾,木,쭉정이 비,9
秘,禾,木,숨길[祕] 비,10
秝,禾,木,- 력,10
租,禾,木,조세 조,10
秣,禾,木,말먹이 말,10
秤,禾,木,저울 칭,10
秦,禾,木,성(姓) 진,10
秧,禾,木,모 앙,10
秩,禾,木,차례 질,10
秫,禾,木,차조 출,10
秭,禾,木,천억 자,10
称,禾,木,일컫을 칭,10
秸,禾,木,볏짚 갈,11
移,禾,木,옮길 이,11
秽,禾,木,- 예,11
稀,禾,木,드물 희,12
稂,禾,木,가라지 랑,12
稃,禾,木,- 부,12
稅,禾,木,세금 세,12
稆,禾,木,- 려,12
稈,禾,木,볏짚 간,12
程,禾,木,한도 정,12
稍,禾,木,점점 초,12
税,禾,木,세금 세,12
稔,禾,木,익을 임,13
稗,禾,木,피[穀類] 패,13
稙,禾,木,올벼 직,13
稚,禾,木,어릴 치,13
稜,禾,木,모날 릉,13
稞,禾,木,보리 과,13
稟,禾,木,여쭐 품,13
稠,禾,木,빽빽할 조,13
稣,鱼,水,- 소,13
稨,禾,木,- 변,14
種,禾,木,씨 종,14
稱,禾,木,일컬을 칭,14
稳,禾,木,편안할 온,14
稷,禾,木,피[穀名] 직,15
稹,禾,木,떨기로 날 진,15
稻,禾,木,벼 도,15
稼,禾,木,심을 가,15
稽,禾,木,머무를 계,15
稿,禾,木,원고 고,15
穀,禾,木,곡식 곡,15
穆,禾,木,화목할 목,16
穌,禾,木,깨어날 소,16
積,禾,木,쌓을 적,16
穎,禾,木,이삭 영,16
穑,禾,木,- 색,16
穗,禾,木,이삭 수,17
穡,禾,木,거둘 색,18
穢,禾,木,더러울 예,18
穩,禾,木,편안할 온,19
穫,禾,木,거둘 확,19
穰,禾,木,볏줄기 양,22
穴,穴,水,굴 혈,5
穵,穴,水,구멍 알,6
究,穴,水,연구할 구,7
穷,穴,水,- 궁,7
穸,穴,水,- 석,8
穹,穴,水,하늘 궁,8
空,穴,水,빌 공,8
穿,穴,水,뚫을 천,9
窀,穴,水,광중 둔,9
突,穴,水,갑자기 돌,9
窃,穴,水,훔칠 절,9
窄,穴,水,좁을 착,10
窅,穴,水,움펑눈 요,10
窆,穴,水,하관할 폄,10
窈,穴,水,고요할 요,10
窍,穴,水,- 규,10
窑,穴,水,- 요,11
窒,穴,水,막힐 질,11
窕,穴,水,그윽할 조,11
窖,穴,水,- 교,12
窗,穴,水,창 창,12
窘,穴,水,군색할 군,12
窜,穴,水,- 찬,12
窝,穴,水,- 와,12
窟,穴,水,굴 굴,13
窠,穴,水,보금자리 과,13
窣,穴,水,느릿느릿 걸을 솔,13
窥,穴,水,- 규,13
窦,穴,水,- 두,13
窨,穴,水,- 음,14
窩,穴,水,움집 와,14
窪,穴,水,웅덩이 와,14
窬,穴,水,판장문 유,14
窭,穴,水,- 구,14
窮,穴,水,다할 궁,15
窯,穴,水,기와가마 요,15
窳,穴,水,이지러질 유,15
窸,穴,水,- 실,16
窺,穴,水,엿볼 규,16
窾,穴,水,빌 관,17
窿,穴,水,활꼴 륭,17
竄,穴,水,도망할 찬,18
竅,穴,水,구멍 규,18
竇,穴,水,구멍 두,20
竈,穴,水,부엌 조,21
竊,穴,水,훔칠 절,22
立,立,土,설 립,5
竖,立,土,- 수,9
竘,立,土,- 구,10
站,立,土,역(驛)마을 참,10
竟,立,土,마침내 경,11
章,立,土,글 장,11
竣,立,土,마칠 준,12
童,立,土,아이 동,12
竦,立,土,공경할 송,12
竭,立,土,다할 갈,14
端,立,土,끝 단,14
競,立,土,다툴 경,20
竹,竹,木,대 죽,6
竺,⺮,木,천축 축,8
竽,⺮,木,큰 생황 우,9
竿,⺮,木,낚싯대 간,9
笃,⺮,木,- 독,9
笄,⺮,木,비녀 계,10
笆,⺮,木,가시 대 파,10
笈,⺮,木,책상자 급,10
笊,⺮,木,조리 조,10
笋,⺮,木,초목 성할 순,10
笏,⺮,木,홀(笏) 홀,10
笑,⺮,木,웃음 소,10
笔,⺮,木,- 필,10
笕,⺮,木,- 견,10
笙,⺮,木,생황 생,11
笛,⺮,木,피리 적,11
笞,⺮,木,볼기칠 태,11
笠,⺮,木,삿갓 립,11
笤,⺮,木,- 소,11
笥,⺮,木,옷상자 사,11
符,⺮,木,부호 부,11
笨,⺮,木,거칠 분,11
笪,⺮,木,- 달,11
笫,⺮,木,- 자,11
第,⺮,木,차례 제,11
笮,⺮,木,- 착,11
笱,⺮,木,통발 구,11
笳,⺮,木,갈잎피리 가,11
笸,⺮,木,- 파,11
笺,⺮,木,- 전,11
笼,⺮,木,- 롱,11
笾,⺮,木,- 변,11
筀,⺮,木,- 계,12
筅,⺮,木,솔 선,12
筆,⺮,木,붓 필,12
筇,⺮,木,- 공,12
等,⺮,木,무리 등,12
筊,⺮,木,- 효,12
筋,⺮,木,힘줄 근,12
筌,⺮,木,통발 전,12
筍,⺮,木,죽순 순,12
筏,⺮,木,뗏목 벌,12
筐,⺮,木,광주리 광,12
筑,⺮,木,악기이름 축,12
筒,⺮,木,통(筒) 통,12
答,⺮,木,대답 답,12
筕,⺮,木,- 행,12
策,⺮,木,꾀 책,12
筘,⺮,木,- 구,12
筚,⺮,木,- 필,12
筛,⺮,木,- 사,12
筜,⺮,木,- 당,12
筝,⺮,木,- 쟁,12
筠,⺮,木,대껍질 균,13
筢,⺮,木,- 파,13
筦,⺮,木,피리 관,13
筮,⺮,木,점대 서,13
筱,⺮,木,가는 대 소,13
筲,⺮,木,- 소,13
筵,⺮,木,대자리 연,13
筷,⺮,木,- 쾌,13
筹,⺮,木,- 주,13
筻,⺮,木,- 강,13
筼,⺮,木,- 운,13
签,⺮,木,- 첨,13
简,⺮,木,- 간,13
箅,⺮,木,- 폐,14
箋,⺮,木,기록할 전,14
箍,⺮,木,테 고,14
箏,⺮,木,쟁[악기이름] 쟁,14
箐,⺮,木,- 정,14
箓,⺮,木,- 록,14
箔,⺮,木,발[簾] 박,14
箕,⺮,木,키 기,14
算,⺮,木,셈 산,14
箜,⺮,木,공후 공,14
箝,⺮,木,재갈 겸,14
管,⺮,木,대롱 관,14
箢,⺮,木,- 원,14
箦,⺮,木,- 책,14
箧,⺮,木,- 협,14
箨,⺮,木,- 탁,14
箩,⺮,木,- 라,14
箪,⺮,木,밥그릇 단,14
箫,⺮,木,- 소,14
箬,⺮,木,- 약,15
箭,⺮,木,살[矢] 전,15
箱,⺮,木,상자 상,15
箴,⺮,木,경계 잠,15
箸,⺮,木,젓가락 저,15
節,⺮,木,마디 절,15
篁,⺮,木,대숲 황,15
範,⺮,木,법 범,15
篆,⺮,木,전자(篆字) 전,15
篇,⺮,木,책 편,15
築,⺮,木,쌓을 축,16
篋,⺮,木,상자 협,15
篌,⺮,木,공후 후,15
篑,⺮,木,- 궤,15
篓,⺮,木,- 루,15
篔,⺮,木,왕대 운,16
篙,⺮,木,상앗대 고,16
篚,⺮,木,대광주리 비,16
篝,⺮,木,불덮개 구,16
篡,厶,土,빼앗을 찬,16
篤,⺮,木,도타울 독,16
篥,⺮,木,대 이름 률,16
篦,⺮,木,빗치개 비,16
篩,⺮,木,체 사,16
篪,⺮,木,저[笛] 지,16
篮,⺮,木,- 람,16
篱,⺮,木,- 리,17
篳,⺮,木,대 사립문 필,17
篷,⺮,木,뜸 봉,17
篹,⺮,木,- 찬,16
篼,⺮,木,- 두,17
篾,⺮,木,대껍질 멸,17
簇,⺮,木,가는대[小竹] 족,17
簉,⺮,木,버금 추,17
簋,⺮,木,제기(祭器)이름 궤,17
簌,⺮,木,- 속,17
簏,⺮,木,대 상자 록,17
簖,⺮,木,- 단,17
簞,⺮,木,소쿠리 단,18
簟,⺮,木,대자리 점,18
簡,⺮,木,대쪽 간,18
簣,⺮,木,삼태기 궤,18
簦,⺮,木,- 등,18
簧,⺮,木,생황 황,18
簪,⺮,木,비녀 잠,18
簫,⺮,木,퉁소 소,19
簷,⺮,木,처마 첨,19
簸,⺮,木,까부를 파,19
簹,⺮,木,- 당,19
簽,⺮,木,이름둘 첨,19
簾,⺮,木,발 렴,19
簿,⺮,木,문서 부,19
籀,⺮,木,- 주,19
籁,⺮,木,- 뢰,19
籃,⺮,木,대바구니 람,20
籌,⺮,木,산가지 주,20
籍,⺮,木,문서 적,20
籑,⺮,木,- 찬,21
籙,⺮,木,- 록,22
籟,⺮,木,세 구멍 퉁소 뢰,22
籠,⺮,木,대바구니 롱,22
籤,⺮,木,제비(점대) 첨,23
籬,⺮,木,울타리 리,25
籮,⺮,木,- 라,25
籲,⺮,木,부르짖을 유,32
米,米,土,쌀 미,6
籴,米,土,- 적,8
类,大,火,나눌 류,9
籼,米,土,- 선,9
籽,米,土,- 자,9
粉,米,土,가루 분,10
粑,米,土,- 파,10
粒,米,土,낟알 립,11
粕,米,土,지게미 박,11
粗,米,土,거칠 조,11
粘,米,土,붙을 점,11
粜,米,土,- 조,11
粝,米,土,- 려,11
粞,米,土,- 서,12
粟,米,土,조 속,12
粢,米,土,서직 자,12
粤,米,土,말 내킬 월,13
粥,米,土,죽 죽,12
粦,米,土,도깨비 불 린,12
粪,米,土,- 분,12
粮,米,土,양식 량,13
粱,米,土,기장 량,13
粲,米,土,선명할 찬,13
粳,米,土,메벼 갱,13
粵,米,土,말 내킬 월,13
粹,米,土,순수할 수,14
粼,米,土,물맑을 린,14
粽,米,土,주악 종,14
精,米,土,정할 정,14
糁,米,土,- 삼,14
糅,米,土,섞일 유,15
糇,米,土,- 후,15
糈,米,土,- 서,15
糊,米,土,풀칠할 호,15
糌,米,土,- 찰,15
糍,米,土,- 자,15
糕,米,土,떡 고,16
糖,米,土,엿 당,16
糗,米,土,미숫가루 구,16
糙,米,土,매조미쌀 조,17
糜,米,土,죽 미,17
糞,米,土,똥 분,17
糟,米,土,지게미 조,17
糠,米,土,겨 강,17
糢,米,土,모호할 모,17
糧,米,土,양식 량,18
糨,米,土,- 강,17
糬,米,土,- 서,19
糯,米,土,찰벼 나,20
糰,米,土,경단 단,20
糲,米,土,현미 려,21
糸,糸,木,실 사,6
糹,糹,木,- 멱,6
系,糸,木,이어맬 계,7
糾,糹,木,얽힐 규,8
紀,糹,木,벼리 기,9
紂,糹,木,주임금 주,9
約,糹,木,맺을 약,9
紅,糹,木,붉을 홍,9
紆,糹,木,얽힐 우,9
紇,糹,木,질낮은실 흘,9
紈,糹,木,흰깁 환,9
紉,糹,木,- 인,9
紊,糸,木,어지러울 문,10
紋,糹,木,무늬 문,10
納,糹,木,들일 납,10
紐,糹,木,맺을 뉴,10
紓,糹,木,늘어질 서,10
純,糹,木,순수할 순,10
紕,糹,木,꾸밀 비,10
紗,糹,木,비단 사,10
紙,糹,木,종이 지,10
級,糹,木,등급 급,10
紛,糹,木,어지러울 분,10
紜,糹,木,얼크러질 운,10
素,糸,木,본디 소,10
紡,糹,木,길쌈 방,10
索,糸,木,찾을 색,10
紥,糸,木,- 찰,10
紧,糸,木,- 긴,10
紫,糸,木,자줏빛 자,12
紮,糸,木,묶을 찰,11
累,糸,木,여러 루,11
細,糹,木,가늘 세,11
紳,糹,木,띠[帶] 신,11
紹,糹,木,이을 소,11
紺,糹,木,감색 감,11
紼,糹,木,인끈 불,11
絀,糹,木,- 출,11
終,糹,木,마칠 종,11
組,糹,木,짤 조,11
絆,糹,木,얽어맬 반,11
絎,糹,木,- 행,12
結,糹,木,맺을 결,12
絓,糹,木,- 괘,12
絕,糹,木,끊을 절,12
絘,糹,木,- 차,12
絛,糸,木,끈 조,13
絜,糸,木,잴 혈,12
絞,糹,木,목맬 교,12
絡,糹,木,이을 락,12
絢,糹,木,무늬 현,12
給,糹,木,줄 급,12
絨,糹,木,가는베 융,12
絮,糸,木,솜 서,12
統,糹,木,거느릴 통,12
絲,糹,木,실 사,12
絳,糹,木,짙게붉을 강,12
絷,糸,木,- 집,12
絹,糹,木,비단 견,13
絻,糹,木,- 문,13
綁,糹,木,- 방,13
綏,糹,木,편안할 수,13
經,糹,木,지날 경,13
綜,糹,木,모을 종,14
綠,糹,木,푸를 록,14
綢,糹,木,빽빽할 주,14
綣,糹,木,정다울 권,14
綦,糸,木,들메끈 기,14
綬,糹,木,인끈 수,14
維,糹,木,벼리 유,14
綮,糸,木,발 고운 비단 계,14
綱,糹,木,벼리 강,14
網,糹,木,그물 망,14
綴,糹,木,엮을 철,14
綵,糹,木,비단 채,14
綷,糹,木,- 최,14
綸,糹,木,벼리 륜,14
綹,糹,木,- 류,14
綺,糹,木,비단 기,14
綻,糹,木,터질 탄,14
綽,糹,木,너그러울 작,14
綿,糹,木,솜 면,14
緄,糹,木,띠 곤,14
緊,糸,木,긴할 긴,14
緋,糹,木,비단 비,14
緒,糹,木,실마리 서,14
緘,糹,木,봉할 함,15
線,糹,木,줄 선,15
緝,糹,木,거둘 즙,15
緞,糹,木,비단 단,15
締,糹,木,맺을 체,15
緣,糹,木,인연 연,15
編,糹,木,엮을 편,15
緩,糹,木,느릴 완,15
緬,糹,木,멀 면,15
緯,糹,木,씨 위,15
緲,糹,木,아득할 묘,15
練,糹,木,익힐 련,15
緻,糹,木,빽빽할 치,16
縈,糸,木,얽힐 영,16
縉,糹,木,꽂을 진,16
縊,糹,木,목맬 액,16
縕,糹,木,묵은솜 온,16
縛,糹,木,얽을 박,16
縞,糹,木,흰깁 호,16
縟,糹,木,화문놓을 욕,16
縣,糸,木,고을 현,16
縧,糹,木,- 조,16
縩,糹,木,- 채,17
縫,糹,木,꿰맬 봉,17
縭,糹,木,신꾸밀 리,17
縮,糹,木,줄일 축,17
縱,糹,木,세로 종,17
縴,糹,木,궂은 솜 견,17
縵,糹,木,무늬 없는 비단 만,17
縷,糹,木,실오리 루,17
縹,糹,木,옥빛 표,17
縻,糸,木,고삐 미,17
總,糹,木,다[皆] 총,17
績,糹,木,길쌈 적,17
繁,糸,木,번성할 번,17
繃,糹,木,묶을 붕,17
繆,糹,木,얽을 무,17
繇,糸,木,성할 요,17
繒,糹,木,비단 증,18
織,糹,木,짤 직,18
繕,糹,木,기울 선,18
繚,糹,木,동일 료,18
繞,糹,木,두를 요,18
繡,糹,木,수놓을 수,19
繩,糹,木,노끈 승,19
繪,糹,木,그림 회,19
繫,糸,木,맬 계,19
繭,糹,木,고치 견,19
繯,糹,木,얽힐 현,19
繰,糹,木,고치켤 조,19
繳,糹,木,주살 격,19
繹,糹,木,풀[解] 역,19
繼,糹,木,이을 계,20
繽,糹,木,어지러울 빈,20
繾,糹,木,곡진할 견,20
纂,糸,木,모을 찬,20
纈,糹,木,홀치기염색 힐,21
續,糹,木,이을 속,21
纍,糸,木,가둘 류,21
纏,糹,木,얽을 전,21
纓,糹,木,갓끈 영,23
纔,糹,木,겨우 재,23
纖,糹,木,가늘 섬,23
纛,糸,木,둑[儀仗旗] 독,25
纜,糹,木,닻줄 람,27
纟,纟,木,- 멱,3
纠,纟,木,- 규,5
纡,纟,木,- 우,6
红,纟,木,- 홍,6
纣,纟,木,- 주,6
纤,纟,木,- 섬,6
纥,纟,木,- 흘,6
约,纟,木,- 약,6
级,纟,木,- 급,7
纨,纟,木,- 환,6
纩,纟,木,- 광,6
纪,纟,木,- 기,6
纫,纟,木,- 인,6
纬,纟,木,- 위,7
纭,纟,木,- 운,7
纯,纟,木,- 순,7
纰,纟,木,- 비,7
纱,纟,木,- 사,7
纲,纟,木,- 망,7
纳,纟,木,- 납,7
纴,纟,木,- 임,7
纵,纟,木,- 종,7
纶,纟,木,- 륜,7
纷,纟,木,- 분,7
纸,纟,木,- 지,7
纹,纟,木,- 문,7
纺,纟,木,- 방,7
纽,纟,木,- 뉴,7
纾,纟,木,- 서,7
线,纟,木,- 선,8
绀,纟,木,- 감,8
绁,纟,木,- 설,8
绂,纟,木,- 불,8
绅,纟,木,- 신,8
细,纟,木,- 세,8
织,纟,木,- 직,8
终,纟,木,- 종,8
绉,纟,木,- 추,8
绊,纟,木,- 반,8
绋,纟,木,- 불,8
绌,纟,木,- 출,8
绍,纟,木,- 소,8
绎,纟,木,- 역,8
绐,纟,木,- 태,8
绑,纟,木,- 방,10
绒,纟,木,- 융,9
结,纟,木,- 결,9
绔,纟,木,- 고,9
绕,纟,木,- 요,9
绗,纟,木,- 행,9
绘,纟,木,- 회,9
绚,纟,木,- 현,9
绛,纟,木,- 강,9
络,纟,木,- 락,9
绝,纟,木,- 절,9
绞,纟,木,- 교,9
统,纟,木,- 통,9
绠,纟,木,- 경,10
绡,纟,木,- 초,10
绢,纟,木,- 견,10
绣,纟,木,- 수,10
绥,纟,木,- 수,10
绦,纟,木,- 조,10
绨,纟,木,- 제,10
绩,纟,木,- 적,11
绪,纟,木,- 서,11
绫,纟,木,- 릉,11
续,纟,木,- 속,11
绮,纟,木,- 기,11
绯,纟,木,- 비,11
绰,纟,木,- 작,11
绱,纟,木,- 상,11
绲,纟,木,- 곤,11
绳,纟,木,- 승,11
维,纟,木,- 유,11
绵,纟,木,- 면,11
绶,纟,木,- 수,11
绷,纟,木,- 붕,11
绸,纟,木,- 주,11
绺,纟,木,- 류,11
绻,纟,木,- 권,11
综,纟,木,- 종,11
绽,纟,木,- 탄,11
绾,纟,木,- 관,11
绿,纟,木,- 록,11
缀,纟,木,- 철,11
缁,纟,木,- 치,11
缂,纟,木,- 격,12
缃,纟,木,- 상,12
缄,纟,木,- 함,12
缅,纟,木,- 면,12
缆,纟,木,- 람,12
缇,纟,木,- 제,12
缈,纟,木,- 묘,12
缉,纟,木,- 집,12
缊,纟,木,헌솜 온,12
缋,纟,木,- 궤,12
缌,纟,木,- 시,12
缍,纟,木,- 수,12
缎,纟,木,- 단,12
缏,纟,木,- 편,12
缑,纟,木,- 구,12
缒,纟,木,- 추,12
缓,纟,木,- 완,12
缔,纟,木,- 체,12
缕,纟,木,- 루,12
编,纟,木,- 편,12
缗,纟,木,- 민,12
缘,纟,木,- 연,12
缙,纟,木,- 진,13
缚,纟,木,- 박,13
缛,纟,木,- 욕,13
缜,纟,木,- 진,13
缝,纟,木,- 봉,13
缟,纟,木,- 호,13
缠,纟,木,- 전,13
缡,纟,木,- 리,13
缢,纟,木,- 액,13
缣,纟,木,- 겸,13
缤,纟,木,- 빈,13
缥,纟,木,- 표,14
缦,纟,木,- 만,14
缧,纟,木,- 류,14
缨,纟,木,- 영,14
缩,纟,木,- 축,14
缪,纟,木,- 무,14
缫,纟,木,- 소,14
缬,纟,木,- 힐,15
缭,纟,木,- 료,15
缮,纟,木,- 선,15
缯,纟,木,- 증,15
缰,纟,木,- 강,16
缱,纟,木,- 견,16
缲,纟,木,- 조,16
缳,纟,木,- 현,16
缴,纟,木,- 격,16
缵,纟,木,- 찬,19
缶,缶,土,장군 부,6
缸,缶,土,항아리 항,9
缺,缶,土,이지러질 결,10
缽,缶,土,- 발,11
罂,缶,土,- 앵,14
罄,缶,土,다할 경,17
罅,缶,土,틈 하,17
罈,缶,土,- 담,18
罌,缶,土,양병 앵,20
罐,缶,土,물동이 관,24
网,网,水,- 망,6
罒,罒,水,- 망,5
罓,罓,水,- 망,4
罔,⺳,水,없을 망,8
罕,⺳,水,드물 한,7
罗,罒,水,- 라,8
罘,罒,水,그물 부,9
罙,⺳,水,- 미,8
罚,罒,水,- 벌,9
罟,罒,水,그물 고,10
罡,罒,水,강별 강,10
罢,罒,水,- 파,10
罨,罒,水,그물 엄,13
罩,罒,水,가리 조,13
罪,罒,水,허물 죄,13
置,罒,水,둘[措] 치,13
罰,罒,水,벌할 벌,14
罱,罒,水,- 남,14
署,罒,水,마을[官廳] 서,14
罴,罒,水,- 비,14
罵,罒,水,꾸짖을 매,15
罷,罒,水,마칠 파,15
罹,罒,水,걸릴 리,16
罾,罒,水,어망 증,17
羁,罒,水,- 기,17
羅,罒,水,벌릴 라,19
羆,罒,水,곰 비,19
羈,罒,水,굴레 기,24
羊,羊,土,양 양,6
羋,羋,火,양 울 미,8
羌,羊,土,오랑캐 강,8
羍,羊,土,- 달,9
美,羊,土,아름다울 미,9
羔,羊,土,새끼양 고,10
羕,羊,土,- 양,11
羚,羊,土,영양 령,11
羝,羊,土,숫양 저,11
羞,羊,土,부끄러울 수,11
羟,羊,土,- 간,11
羡,羊,土,현이름 선,12
群,羊,土,무리 군,13
羥,羊,土,- 간,13
羧,羊,土,- 최,13
羨,羊,土,부러워할 선,13
義,羊,土,옳을 의,13
羯,羊,土,불친 양 갈,15
羰,羊,土,- 탄,15
羲,羊,土,복희(伏羲) 희,16
羴,羊,土,- 전,18
羸,羊,土,야윌 리,19
羹,羊,土,국 갱,19
羼,羊,土,- 찬,21
羽,羽,木,깃 우,6
羿,羽,木,사람이름 예,9
翁,羽,木,늙은이 옹,10
翅,羽,木,날개 시,10
翊,羽,木,도울 익,11
翌,羽,木,다음날 익,11
翎,羽,木,깃 령,11
翏,羽,木,- 료,11
習,羽,木,익힐 습,11
翔,羽,木,날[飛] 상,12
翕,羽,木,모을 흡,12
翘,羽,木,- 교,12
翟,羽,木,꿩 적,14
翠,羽,木,푸를 취,14
翡,羽,木,물총새 비,14
翥,羽,木,- 저,14
翦,羽,木,자를 전,15
翩,羽,木,빨리날 편,15
翮,羽,木,깃촉 핵,16
翰,羽,木,편지 한,16
翱,羽,木,날 고,16
翳,羽,木,가릴 예,17
翹,羽,木,우뚝할 교,18
翻,羽,木,날 번,18
翼,羽,木,날개 익,17
耀,羽,木,빛날 요,20
老,老,土,늙을 로,6
耂,耂,土,- 로,4
考,耂,土,생각할 고,6
耄,老,土,늙을 모,10
者,耂,土,놈 자,9
耆,老,土,늙을 기,10
耋,老,土,늙을 질,12
而,而,木,말이을 이,6
耍,而,木,- 사,9
耐,而,木,견딜 내,9
耑,而,木,시초 단,9
耒,耒,木,따비 뢰,6
耔,耒,木,북돋울 자,9
耕,耒,木,밭갈[犁田] 경,10
耖,耒,木,밭 거듭 갈 초,10
耗,耒,木,소모할 모,10
耘,耒,木,김맬 운,10
耙,耒,木,쇠시랑 파,10
耜,耒,木,따비 사,11
耠,耒,木,- 합,12
耢,耒,木,- 로,13
耤,耒,木,- 적,14
耥,耒,木,- 당,14
耦,耒,木,짝 우,15
耧,耒,木,- 루,15
耨,耒,木,호미 누,16
耩,耒,木,- 강,16
耪,耒,木,- 방,16
耱,耒,木,- 마,22
耳,耳,火,귀 이,6
耴,耳,火,- 첩,7
耵,耳,火,- 정,8
耶,耳,火,어조사 야,9
耷,耳,火,- 탑,9
耸,耳,火,- 용,10
耻,耳,火,부끄러울 치,10
耽,耳,火,즐길 탐,10
耿,耳,火,빛날 경,10
聂,耳,火,- 섭,10
聃,耳,火,귓바퀴없을 담,11
聆,耳,火,들을 령,11
聊,耳,火,애오라지 료,11
聋,耳,火,- 롱,11
职,耳,火,- 직,11
聍,耳,火,- 녕,11
聒,耳,火,떠지껄일 괄,12
聖,耳,火,성인 성,13
聘,耳,火,부를 빙,13
聚,耳,火,모을 취,14
聞,耳,火,들을 문,14
聩,耳,火,- 외,15
聪,耳,火,- 총,15
聯,耳,火,연이을 련,17
聰,耳,火,귀밝을 총,17
聱,耳,火,못 들은채 할 오,17
聲,耳,火,소리 성,17
聳,耳,火,솟을 용,17
聵,耳,火,배냇귀머거리 외,18
聶,耳,火,소곤거릴 섭,18
職,耳,火,직분 직,18
聽,耳,火,들을 청,22
聾,耳,火,귀먹을 롱,22
聿,聿,木,붓 율,6
肀,肀,木,- 사,4
肃,肀,木,- 숙,8
肄,聿,木,익힐 이,13
肅,肀,木,엄숙할 숙,13
肆,聿,木,방자할 사,13
肇,聿,木,비롯할 조,14
肉,肉,土,고기 육,6
肋,⺼,土,갈빗대 륵,6
肌,⺼,土,살[膚肉] 기,6
肓,⺼,土,명치 끝 황,7
肖,⺼,土,닮을 초,7
肘,⺼,土,팔꿈치 주,7
肙,⺼,土,- 연,7
肚,⺼,土,밥통 두,7
肛,⺼,土,항문 항,7
肜,⺼,土,- 융,7
肝,⺼,土,간 간,7
肟,⺼,土,- 오,7
肠,⺼,土,- 장,8
股,⺼,土,넓적다리 고,8
肢,⺼,土,팔다리 지,8
肤,⺼,土,- 부,8
肥,⺼,土,살찔 비,8
肩,⺼,土,어깨 견,8
肪,⺼,土,기름 방,8
肫,⺼,土,광대뼈 순,8
肭,⺼,土,물개 눌,8
肮,⺼,土,- 항,8
肯,⺼,土,즐길 긍,8
肰,⺼,土,- 연,8
肱,⺼,土,팔뚝 굉,8
育,⺼,土,기를 육,8
肴,⺼,土,안주 효,8
肷,⺼,土,- 휼,8
肺,⺼,土,허파 폐,8
肼,⺼,土,- 정,8
肽,⺼,土,- 태,8
肾,⺼,土,- 신,8
肿,⺼,土,- 종,8
胀,⺼,土,- 창,8
胁,⺼,土,- 협,8
胂,⺼,土,- 신,9
胃,⺼,土,밥통 위,9
胄,⺼,土,자손 주,9
胆,⺼,土,침비깨 단,9
背,⺼,土,등 배,9
胍,⺼,土,- 고,9
胎,⺼,土,아이밸 태,9
胖,⺼,土,살찔 반,9
胗,⺼,土,- 진,9
胙,⺼,土,복 조,9
胚,⺼,土,아기밸 배,9
胛,⺼,土,어깻죽지 갑,9
胜,⺼,土,- 성,9
胝,⺼,土,- 지,9
胞,⺼,土,세포 포,9
胠,⺼,土,열 거,9
胡,⺼,土,되[狄] 호,9
胤,⺼,土,자손 윤,9
胥,⺼,土,서로 서,9
胧,月,水,- 롱,9
胨,⺼,土,- 동,9
胩,⺼,土,- 카,9
胪,⺼,土,- 려,9
胫,⺼,土,- 경,9
胬,肉,土,- 노,11
胭,⺼,土,- 연,10
胯,⺼,土,사타구니 고,10
胰,⺼,土,- 이,10
胱,⺼,土,오줌통 광,10
胲,⺼,土,- 해,10
胳,⺼,土,- 각,10
胴,⺼,土,큰창자 동,10
胶,⺼,土,- 효,10
胸,⺼,土,가슴 흉,10
胺,⺼,土,- 알,10
胼,⺼,土,살갗 틀 변,10
能,⺼,土,능할 능,10
脂,⺼,土,기름 지,10
脅,⺼,土,위협할 협,10
脆,⺼,土,연할 취,10
脈,⺼,土,줄기 맥,10
脉,⺼,土,맥 맥,9
脊,⺼,土,등마루 척,10
脍,⺼,土,- 회,10
脎,⺼,土,- 살,10
脏,⺼,土,- 장,10
脐,⺼,土,- 제,10
脑,⺼,土,- 뇌,10
脒,⺼,土,- 미,10
脓,⺼,土,- 농,10
脔,肉,土,- 련,12
脖,⺼,土,배꼽 발,11
脘,⺼,土,중완[胃腑] 완,11
脚,⺼,土,다리 각,11
脛,⺼,土,정강이 경,11
脞,⺼,土,잗달 좌,11
脢,⺼,土,등심 매,11
脣,⺼,土,입술 순,11
脩,⺼,土,길[長] 수,11
脫,⺼,土,벗을 탈,11
脬,⺼,土,- 포,11
脯,⺼,土,포(脯) 포,11
脱,⺼,土,벗을 탈,11
脲,⺼,土,- 뇨,11
脶,⺼,土,- 라,11
脷,⺼,土,- 리,11
脸,⺼,土,- 검,11
脹,⺼,土,부을 창,12
脾,⺼,土,지라 비,12
腆,⺼,土,두터울 전,12
腈,⺼,土,- 정,12
腊,⺼,土,육포 석,12
腋,⺼,土,겨드랑이 액,12
腌,⺼,土,- 엄,12
腎,⺼,土,콩팥 신,12
腐,肉,土,썩을 부,14
腑,⺼,土,육부(六腑) 부,12
腓,⺼,土,장딴지 비,12
